variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
mrro,Total Runoff,3hr,3hr,7034.91,18690
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,day,CFday,6983.88,22890
ta,Air Temperature,mon,Emon,6975.65,63586
rldcs4co2,Downwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere,mon,CFmon,6897.10,6282
cls,Percentage Cover of Stratiform Cloud,mon,CFmon,6891.07,5349
wap,Omega (=dp/dt),subhrPt,CFsubhr,6876.70,5668
no,NO Volume Mixing Ratio,mon,AERmon,6784.60,10522
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,mon,Omon,6701.75,5669
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mon,Omon,6700.86,2682
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,day,CFday,6670.08,18204
vo,Sea Water Y Velocity,day,Oday,6640.76,2036
snc,Snow Area Percentage,day,day,6635.05,212635
clcalipso,CALIPSO Percentage Cloud Cover,day,CFday,6516.32,2738
sf6,Mole Concentration of SF6 in Sea Water,mon,Omon,6505.50,3418
msftyz,Ocean Y Overturning Mass Streamfunction,mon,Omon,6444.62,733870
o3,Mole Fraction of O3,3hrPt,E3hrPt,6427.05,726
msftbarot,Ocean Barotropic Mass Streamfunction,mon,Omon,6413.31,353107
talknat,Natural Total Alkalinity,mon,Omon,6338.16,1329
mrsos,Moisture in Upper Portion of Soil Column,3hrPt,3hr,6285.51,10146
rsuscs,Surface Upwelling Clear-Sky Shortwave Radiation,day,CFday,6217.94,16807
co,CO Volume Mixing Ratio,mon,AERmon,6213.03,11984
hus,Specific Humidity,3hr,E3hrPt,6130.09,1885
rldscs,Surface Downwelling Clear-Sky Longwave Radiation,mon,Amon,6096.91,512124
rsut,TOA Outgoing Shortwave Radiation,3hr,E3hr,6090.25,10380
mc,Convective Mass Flux,subhrPt,Esubhr,6073.57,1724
rsdt,TOA Incident Shortwave Radiation,day,CFday,6011.41,32332
pfull,Pressure at Model Full-Levels,6hrPt,6hrLev,5976.25,674
od550aer,Ambient Aerosol Optical Thickness at 550nm,day,AERday,5941.55,17207
opottemppmdiff,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,mon,Emon,5935.56,1135
rsdt,TOA Incident Shortwave Radiation,3hr,E3hr,5891.61,11326
zg,Geopotential Height,subhrPt,CFsubhr,5858.14,4755
rsu4co2,Upwelling Shortwave Radiation 4XCO2 Atmosphere,mon,CFmon,5841.23,3312
clc,Convective Cloud Area Percentage,mon,CFmon,5839.83,4249
airmass,Vertically Integrated Mass Content of Air in Layer,mon,AERmon,5745.71,13822
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,mon,Omon,5677.09,1618
ua,Eastward Wind,subhrPt,CFsubhr,5658.80,5373
lai,Leaf Area Index,day,Eday,5647.75,60680
mmrpm2p5,PM2.5 Mass Mixing Ratio,mon,AERmon,5639.34,14331
tslsi,Surface Temperature Where Land or Sea Ice,day,day,5633.88,53980
prc,Convective Precipitation,mon,Amon,5553.20,507867
prsn,Snowfall Flux,mon,Amon,5530.59,901925
va,Northward Wind,subhrPt,CFsubhr,5519.72,5401
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,day,CFday,5507.87,19113
